0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,genre
-113.619385,121.55303,-19.151056,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283617,10.973776,-8.32241,8.8067875,-3.665802,5.745939,-5.161711,0.75029784,-1.688358,-0.4093285,-2.2988691,1.2199471,-3.538389,-1.1400294,-4.289415,-4.2328043,0.9163247,0.9165485,-5.763323,-3.930225,1.5080732,2.6956463,5.6516275,-3.2703445,-0.2038709,-2.9991937,4.479565,-0.47173452,6.0087132,-0.058999497,-3.4628537,-1.8414087,blues
-207.58151,123.99715,8.939115,35.870758,2.9199703,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.3759418,-2.237833,4.2171254,-6.0110474,0.93266803,-0.71702784,0.2923333,-0.2857169,0.5321445,-4.090439,-1.2404466,-2.8426907,-4.355886,3.2582963,1.2023576,-0.033780184,-0.059279013,3.9833682,-0.4506288,0.8427731,-3.7514126,-4.0992374,-2.455875,5.8402605,3.5573013,4.8964677,-0.4134134,-1.999016,-0.4694125,blues
-90.776344,140.44861,-29.10056,31.68734,-13.975971,25.741686,-13.644712,11.623112,-11.77592,9.700466,-13.115349,5.785763,-8.899733,-1.0870236,-9.216774,2.4536483,-7.721793,-1.8164971,-3.434354,-2.2313912,-4.049148,-0.56996554,-2.0112386,-5.3869195,-5.123237,-7.8055515,-1.1680623,-0.20640007,1.384402,-3.0061822,-1.3840289,-4.7452655,-0.37657398,0.4943603,0.44500783,-4.1627316,-4.8087063,-6.69736,-4.4243474,-0.9846288,blues
-199.462,150.09473,5.649167,26.870144,1.7554408,14.236881,-4.8288727,9.297849,-0.753142,8.147393,-3.1952357,6.085354,-2.4761882,-1.0762246,-2.8760562,0.7769089,-3.3200555,0.6372629,-0.61750686,-3.40694,-1.5005991,-0.055320363,-1.8619184,-4.710597,-3.922636,-6.653788,-2.9067209,-3.231801,-0.27208954,-3.8174036,-2.8221364,-4.210177,-2.7049646,-3.8450146,-2.5266833,-4.9386477,-5.9521265,-6.6168156,-6.3983254,-1.5017639,blues
-160.29185,126.19577,-35.6025,22.151169,-32.48764,10.862022,-23.357162,0.50052303,-11.8047695,1.2038774,-13.085074,-2.8098488,-6.935621,-7.5592937,-9.172152,-4.5104084,-5.4537363,-0.9244677,-4.4080763,-11.701833,-5.8597007,-0.71842885,0.95112574,-1.2276795,4.565906,0.28962705,-1.2837689,-4.4884567,-0.40812585,0.2756417,8.477829,3.64165,-3.0047832,-6.1073136,-6.9527907,-4.0751724,-1.13693,-0.4846318,-4.7880306,-3.2193747,blues
-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.57577,-0.94018424,-11.773799,-2.426076,-9.342487,-9.947082,-3.9053469,-5.568541,-1.8399693,-2.7841752,-3.046112,-8.115228,-2.467844,-1.7123966,-4.2795463,-4.6385307,-2.3284316,0.9241528,4.378612,5.194026,5.694819,2.529238,2.613597,-4.352427,-6.80911,-2.9116185,-1.0631216,1.9084802,1.0155056,-3.1086466,-5.304875,-5.263715,blues
-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.5963726,-20.882357,0.27711603,-6.5008707,-5.515623,-7.8452897,-3.123599,-6.595716,-9.947577,-6.540925,-10.071382,-10.912119,-6.970003,-3.4485128,-6.498458,-7.1202984,-7.1363893,-5.285489,-4.5902853,-3.238698,-2.8989835,1.4235084,2.9203236,2.11777,-1.4764496,-0.6344612,2.9592261,2.607564,1.79932,-1.9789025,-5.1756315,-2.3760102,0.14222984,3.7087798,5.259211,blues
-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.469098,-8.414114,-6.956976,-3.548349,-8.051683,-8.9604845,-8.421077,-10.5585985,-10.790192,-4.7007947,-8.638816,-11.0275755,-10.391632,-1.8577003,-1.4492542,-3.1238863,-1.183795,-3.6141505,-3.2580407,-0.6348768,0.8947241,4.01671,2.700859,-0.17025481,-2.5200899,-3.4514682,-2.8848891,0.7313576,-1.9445958,-4.865746,-3.2380965,blues
-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.825939,21.17341,-6.7202907,7.0050187,-12.739909,5.064209,-5.1730757,-1.446995,-7.0369287,2.6948745,3.4093323,-2.6991909,-4.2705674,-0.6270918,-4.287083,-13.3744335,-8.27833,-2.0942798,10.5590105,2.919302,-1.0299448,-0.7499113,-0.5007922,-1.4041351,-1.8816167,-1.810887,2.364886,-4.3034086,-3.8789642,-5.0984454,0.49160275,1.1653895,blues
-213.20453,115.15454,-11.720503,39.032555,-20.357819,13.089926,-9.180816,9.023639,-14.101023,4.283337,-6.044196,3.786368,0.22368751,-5.114481,-0.4145367,-1.1848986,-1.9183391,-2.2957962,2.89123,-4.234533,1.5900462,2.461061,-0.90934014,1.8585109,5.0403576,0.77271456,5.6455097,0.441474,-0.91098523,-2.213618,-1.8996391,-3.4583857,-0.9660858,1.5506594,3.1903374,4.552811,1.9053441,-0.68077904,-2.7371292,-0.059521135,blues
-173.71587,137.14024,-23.767647,26.99174,-16.687662,4.2143745,-12.582618,5.8545594,-2.8846726,-1.1866812,-1.9771539,1.8001548,-3.0044112,-1.8699358,-0.7962682,-3.0132642,-0.43592533,-2.00181,-0.7466386,-5.001238,-1.8160439,0.8067464,2.5055747,-1.6417372,-3.3359144,-0.13622102,4.48795,8.8497095,9.319613,1.2971638,-1.8052478,-6.4742684,-3.8727202,1.8019758,-3.190031,-5.8477664,-6.718807,-1.4338905,3.2748842,1.2342955,blues
-287.92355,123.97102,5.4561224,33.684544,1.0892011,14.704721,-4.898606,8.6532755,0.7827977,6.5667357,-4.87944,-3.1806588,-5.557003,-6.786621,-2.6442327,-2.9824317,-3.3811386,-1.8614974,1.8359205,-4.8965116,-5.5384836,-3.612521,-2.0601182,-6.5176573,-6.8794336,-2.781112,1.6434356,-1.8873739,-4.67837,-3.3404355,-2.2557988,-1.9168478,-1.8664528,-1.3519363,-2.9247155,-2.6872435,-1.3020627,-1.4030876,-1.2841539,0.8157186,blues
-207.20874,132.79709,-15.460706,60.99486,0.710241,12.461279,1.1609277,-1.5278945,-17.901815,8.369234,-2.4538186,-0.5966888,0.3688164,2.6052277,-5.193015,-9.530149,-9.2374,-2.8406758,-1.4114444,-5.9310284,7.7731123,4.0931144,4.058162,3.6514394,6.006844,0.4191306,2.0486271,1.4418106,6.510237,9.659197,6.698107,0.19275351,-2.3590875,-1.0716188,-0.25927266,4.1333394,0.7824551,0.521982,0.9380264,3.2918725,blues
-209.7822,124.46592,10.285805,47.030174,6.4823856,15.417021,-2.0100777,6.735786,-21.54862,10.7284975,-5.532432,-2.2020378,-3.0517268,8.644019,-0.31084582,-0.63614476,-2.9359381,-1.706597,-1.7654228,-7.755964,3.4221113,3.5782943,2.8118165,-0.6349814,3.5613987,-5.5300465,0.7484941,5.160498,8.5322485,5.9606123,7.4524326,1.6511075,-0.5478872,2.1669812,3.7546773,2.564597,0.38210633,-0.10549419,-1.5471802,1.3110809,blues
-305.69858,113.041626,12.114901,45.039444,17.739239,14.59463,4.1571283,0.24009813,-7.013088,13.649845,8.923058,1.30169,5.952128,8.542282,1.1171257,0.58821875,0.060077444,-3.706519,-1.001884,-1.8044137,4.964381,4.3411965,3.4257812,1.2855431,2.8854663,2.2391791,3.4702225,6.01861,7.7585616,9.786685,8.9374895,3.7860103,-1.9251237,-0.6789772,1.9554967,2.845728,-0.055123862,-0.7886829,-2.3206525,1.6252084,blues
-238.53304,120.08829,-4.224556,42.310043,5.9163294,13.914182,5.3575773,1.9037086,-16.92988,12.339311,3.9409604,-1.3906769,0.014792109,3.5804958,-4.5049934,-5.5419517,-6.8830776,-4.8263903,1.7385828,-1.8840166,6.892138,5.3051734,5.5378985,0.5503045,1.8520037,-0.08424152,4.2340255,4.3462486,5.97772,6.7855783,4.524838,1.3913794,-0.050052986,-0.6147501,-2.3430247,1.8984556,-0.5744949,-1.7184715,-1.4194747,2.1560318,blues
-233.79489,120.66705,-3.1675608,39.53927,3.8588552,18.839672,-3.6889172,4.431845,-14.975374,17.571035,1.8447447,2.538607,-1.2386857,8.439363,-0.2098385,-3.9067852,-4.478641,-0.012232234,1.293265,-2.0874293,6.7976127,0.58781993,1.6384306,-0.7333189,3.08214,-1.9876027,3.6417992,3.6174347,3.6358373,0.6734101,5.3785543,8.267168,8.556204,5.546317,0.6470652,-2.0081127,-0.78552055,3.994944,0.4930023,-0.8923272,blues
-245.7541,140.48093,-2.771439,60.42012,18.9254,9.837099,3.566577,0.5361876,-16.367361,6.6298547,7.269149,-4.01573,1.6074535,5.898682,-3.0176077,-4.7748995,-3.02707,-1.9985331,-0.058758903,-3.9718897,-0.40389103,1.97177,0.46303433,-1.840758,2.7746994,0.6297253,1.4135932,4.837874,3.6356168,2.6676002,4.7892394,6.6611395,7.7556477,6.7842417,0.3317374,-1.8084682,0.12957811,2.4163399,2.5501368,0.10126611,blues
-252.51877,104.93698,15.31683,42.673477,6.7626176,21.623577,-1.3132769,5.691932,-16.619516,12.161626,-1.96795,1.9697651,-0.88895833,7.771046,2.3869517,1.7799876,1.3449866,3.6371133,4.9108076,-2.6554039,4.109193,2.1986363,2.5341146,-1.6360602,2.8631232,-3.0687807,0.24864896,0.56624717,4.8132,3.6551955,3.5380254,0.75215685,1.620619,3.3448691,2.3730717,3.2114825,0.06440012,-1.4290284,-0.57166016,2.458086,blues
-236.6889,138.40428,-4.9235754,47.647713,5.152376,8.895284,0.48285615,-3.801668,-14.974891,10.432587,-0.35396186,0.78834563,1.7829305,4.2302113,-0.47101688,-6.1056542,-5.387077,-1.3430609,-3.7227938,-4.362499,4.546531,0.076003954,5.4491773,3.7077432,1.9497089,0.32246375,4.948398,2.3792398,0.44488806,1.8241855,5.9099984,10.8361435,8.701071,5.563939,2.3871825,-0.41469967,-2.153804,1.4988688,-0.948813,-1.875831,blues
-230.42657,127.100525,7.145355,39.784317,1.9449425,17.40534,-5.639429,8.25213,-18.104383,13.842513,-3.760913,2.5718598,-4.3208055,6.8123913,-6.159839,-6.2154546,-4.5115924,-1.8506043,-0.5394865,1.504397,9.011649,4.429531,6.2149224,-1.645241,-0.41142678,-3.0033126,1.5931019,0.17300971,4.993978,0.5518398,1.476973,3.1152349,6.687716,6.473539,4.510718,-0.7876196,-2.2776117,-0.4305761,-2.605891,-0.8331601,blues
